Data;Sensor;Hora_Ativo;ConsumoWH
14/04/2025;Quarto 01;06:12:00;9300,00
15/04/2025;Quarto 01;09:50:00;14750,00
16/04/2025;Quarto 01;12:44:00;19100,00
17/04/2025;Quarto 01;12:24:00;18600,00
18/04/2025;Quarto 01;11:39:00;17475,00
19/04/2025;Quarto 01;07:42:00;11550,00
20/04/2025;Quarto 01;08:14:00;12350,00
21/04/2025;Quarto 01;12:11:00;18275,00
22/04/2025;Quarto 01;10:04:00;15100,00
23/04/2025;Quarto 01;14:17:00;21425,00
24/04/2025;Quarto 01;18:38:00;27950,00
25/04/2025;Quarto 01;09:24:00;14100,00
26/04/2025;Quarto 01;14:05:00;21125,00
27/04/2025;Quarto 01;15:22:00;23050,00
28/04/2025;Quarto 01;14:30:00;21750,00
29/04/2025;Quarto 01;07:41:00;11525,00
30/04/2025;Quarto 01;07:05:00;10625,00
01/05/2025;Quarto 01;10:13:00;15325,00
02/05/2025;Quarto 01;13:53:00;20825,00
03/05/2025;Quarto 01;02:45:00;4125,00
04/05/2025;Quarto 01;14:27:00;21675,00
05/05/2025;Quarto 01;06:38:00;9950,00
06/05/2025;Quarto 01;17:18:00;25950,00
07/05/2025;Quarto 01;15:23:00;23075,00
08/05/2025;Quarto 01;18:57:00;28425,00
09/05/2025;Quarto 01;09:24:00;14100,00
10/05/2025;Quarto 01;21:33:00;32325,00
11/05/2025;Quarto 01;12:02:00;18050,00
12/05/2025;Quarto 01;05:06:00;7650,00
13/05/2025;Quarto 01;18:22:00;27550,00
14/05/2025;Quarto 01;08:57:00;13425,00
15/05/2025;Quarto 01;01:00:00;1500,00
16/05/2025;Quarto 01;21:07:00;31675,00
17/05/2025;Quarto 01;10:19:00;15475,00
18/05/2025;Quarto 01;07:31:00;11275,00
19/05/2025;Quarto 01;02:02:00;3050,00
20/05/2025;Quarto 01;10:21:00;15525,00
21/05/2025;Quarto 01;17:34:00;26350,00
22/05/2025;Quarto 01;13:20:00;20000,00
23/05/2025;Quarto 01;11:07:00;16675,00
24/05/2025;Quarto 01;09:29:00;14225,00
25/05/2025;Quarto 01;19:22:00;29050,00
26/05/2025;Quarto 01;15:39:00;23475,00
27/05/2025;Quarto 01;12:05:00;18125,00
28/05/2025;Quarto 01;02:03:00;3075,00
29/05/2025;Quarto 01;07:44:00;11600,00
30/05/2025;Quarto 01;17:25:00;26125,00
31/05/2025;Quarto 01;20:27:00;30675,00
01/06/2025;Quarto 01;02:31:00;3775,00
02/06/2025;Quarto 01;16:38:00;24950,00
03/06/2025;Quarto 01;08:19:00;12475,00
04/06/2025;Quarto 01;04:49:00;7225,00
05/06/2025;Quarto 01;11:53:00;17825,00
06/06/2025;Quarto 01;08:40:00;13000,00
07/06/2025;Quarto 01;08:10:00;12250,00
08/06/2025;Quarto 01;09:15:00;13875,00
09/06/2025;Quarto 01;19:07:00;28675,00
10/06/2025;Quarto 01;07:15:00;10875,00
11/06/2025;Quarto 01;11:26:00;17150,00
12/06/2025;Quarto 01;14:36:00;21900,00
13/06/2025;Quarto 01;22:00:00;33000,00
14/06/2025;Quarto 01;11:31:00;17275,00
15/06/2025;Quarto 01;01:00:00;1500,00
16/06/2025;Quarto 01;16:01:00;24025,00
17/06/2025;Quarto 01;17:32:00;26300,00
18/06/2025;Quarto 01;17:58:00;26950,00
19/06/2025;Quarto 01;15:32:00;23300,00
20/06/2025;Quarto 01;23:16:00;34900,00
21/06/2025;Quarto 01;02:17:00;3425,00
22/06/2025;Quarto 01;02:41:00;4025,00
23/06/2025;Quarto 01;13:19:00;19975,00
24/06/2025;Quarto 01;10:48:00;16200,00
25/06/2025;Quarto 01;20:03:00;30075,00
26/06/2025;Quarto 01;16:42:00;25050,00
27/06/2025;Quarto 01;19:11:00;28775,00
28/06/2025;Quarto 01;17:33:00;26325,00
29/06/2025;Quarto 01;18:07:00;27175,00
30/06/2025;Quarto 01;10:53:00;16325,00
01/07/2025;Quarto 01;07:25:00;11125,00
02/07/2025;Quarto 01;13:52:00;20800,00
03/07/2025;Quarto 01;23:01:00;34525,00
04/07/2025;Quarto 01;15:54:00;23850,00
05/07/2025;Quarto 01;10:19:00;15475,00
06/07/2025;Quarto 01;02:26:00;3650,00
07/07/2025;Quarto 01;05:36:00;8400,00
08/07/2025;Quarto 01;10:47:00;16175,00
09/07/2025;Quarto 01;17:58:00;26950,00
10/07/2025;Quarto 01;16:28:00;24700,00
11/07/2025;Quarto 01;06:10:00;9250,00
12/07/2025;Quarto 01;00:14:00;350,00
13/07/2025;Quarto 01;15:29:00;23225,00
14/07/2025;Quarto 01;16:44:00;25100,00
15/07/2025;Quarto 01;10:48:00;16200,00
16/07/2025;Quarto 01;09:57:00;14925,00
17/07/2025;Quarto 01;20:35:00;30875,00
18/07/2025;Quarto 01;12:30:00;18750,00
19/07/2025;Quarto 01;15:21:00;23025,00
20/07/2025;Quarto 01;16:32:00;24800,00
21/07/2025;Quarto 01;19:45:00;29625,00
22/07/2025;Quarto 01;15:08:00;22700,00
23/07/2025;Quarto 01;02:34:00;3850,00
24/07/2025;Quarto 01;07:47:00;11675,00
25/07/2025;Quarto 01;20:22:00;30550,00
26/07/2025;Quarto 01;02:22:00;3550,00
27/07/2025;Quarto 01;13:48:00;20700,00
28/07/2025;Quarto 01;10:31:00;15775,00
29/07/2025;Quarto 01;21:35:00;32375,00
30/07/2025;Quarto 01;14:16:00;21400,00
31/07/2025;Quarto 01;01:00:00;1500,00
